Gene_Symbol,Uniprot_ID,Polar,Neutral,Hydrophobicity,0-2.78,2.95-4.0,4.03-8.08,4.9-6.2,8.0-9.2,10.4-13.0,0-1.08,0.128-0.186,0.219-0.409,Positive,Neutral,Negative,Buried,Exposed,Intermediate,Helix,Strand,Coil,(-0.20~0.16),(-0.3~ -0.52),(-0.98~ -2.46),High (5-21%),Medium (1.12-3.64%),Low (0-0.83%),High (1.21-2.02),Medium (0.63-1.12),Low (0.14-0.29),High (4-30%) ,Medium (1-3%) ,Low (0-1%) ,High (25-100%) ,Medium (5-18%) ,Low (0-4%) ,High (0.25-11) ,Medium (-0.25 – 0.17) ,Low (-0.3 - -0.8) ,High (1.18-2.07) ,Medium (0.84-1.16) ,Low (0.41-0.8) ,High (0.95-1.8) ,Medium (0.5-0.95) ,Low (0-0.5) ,High (?2.25) ,Medium (1.6-2.3) ,Low (?1.5) ,High  (?1.4) ,Medium (0.79-1.21) ,Low (?0.76) ,High (477-1197) ,Medium (95-423) ,Low (<95) ,Low (75-105),Medium (115-155),High (165-204),(-4.2 - -3.3),(-3.07 – 2.26),(-1.78 - -1.05),>1,1,0,>1,1,0,High (9-65 g/100g) ,Medium (1.14-7.44 g/100g) ,Low (0.048-0.82,Very flexible,Moderately flexible,Less flexible,Target
TF,P02787,23.75,38.75,37.5,48.75,31.25,20,38.75,35,26.25,37.5,42.5,20,11.25,78.75,10,55,23.75,21.25,46.25,31.25,22.5,36.25,28.75,35,27.5,63.75,8.75,42.5,50,7.5,16.25,23.75,60,20,20,60,26.25,56.25,17.5,23.75,53.75,22.5,31.25,40,28.75,30,56.25,13.75,30,56.25,13.75,32.5,48.75,18.75,17.5,45,37.5,30,31.25,38.75,25,58.75,16.25,13.75,36.25,50,16.25,47.5,36.25,18.75,32.5,48.75,1
NMB,P08949,21.25,51.25,27.5,50,22.5,27.5,27.5,47.5,25,42.5,30,27.5,13.75,81.25,5,46.25,21.25,32.5,51.25,15,33.75,41.25,23.75,35,35,48.75,16.25,41.25,56.25,2.5,20,25,55,21.25,23.75,55,25,50,25,31.25,45,23.75,32.5,51.25,16.25,31.25,61.25,7.5,43.75,45,11.25,47.5,35,17.5,21.25,56.25,22.5,46.25,32.5,21.25,35,56.25,8.75,10,57.5,32.5,13.75,48.75,37.5,18.75,33.75,47.5,1
BANK1,Q8NDB2,25,41.25,33.75,38.75,37.5,23.75,38.75,32.5,28.75,26.25,50,23.75,7.5,78.75,13.75,46.25,25,28.75,47.5,25,27.5,28.75,25,46.25,18.75,68.75,12.5,28.75,62.5,8.75,15,27.5,57.5,23.75,18.75,57.5,28.75,43.75,27.5,28.75,41.25,30,40,38.75,21.25,31.25,48.75,20,30,55,15,33.75,46.25,20,18.75,52.5,28.75,30,35,35,17.5,70,12.5,16.25,42.5,41.25,18.75,45,36.25,25,26.25,48.75,1
MICA,Q29983,26.25,40,33.75,43.75,33.75,22.5,35,36.25,28.75,32.5,45,22.5,8.75,82.5,8.75,52.5,26.25,21.25,45,22.5,32.5,41.25,17.5,41.25,25,60,15,33.75,60,6.25,20,20,60,25,15,60,28.75,46.25,25,32.5,40,27.5,32.5,45,22.5,38.75,52.5,8.75,37.5,50,12.5,40,42.5,17.5,13.75,63.75,22.5,32.5,36.25,31.25,23.75,67.5,8.75,15,42.5,42.5,16.25,47.5,36.25,17.5,32.5,50,1
CYP2C9,P11712,16.25,37.5,46.25,37.5,43.75,18.75,50,32.5,17.5,26.25,55,18.75,8.75,88.75,2.5,55,16.25,28.75,35,31.25,33.75,21.25,22.5,56.25,20,70,10,25,68.75,6.25,15,21.25,63.75,11.25,25,63.75,17.5,48.75,33.75,31.25,36.25,32.5,36.25,30,33.75,27.5,58.75,13.75,41.25,46.25,12.5,42.5,32.5,25,15,76.25,8.75,36.25,27.5,36.25,23.75,61.25,15,11.25,58.75,30,12.5,67.5,20,10,32.5,57.5,1
GDF15,Q99988,32.5,37.5,30,38.75,38.75,22.5,31.25,33.75,35,33.75,43.75,22.5,11.25,75,13.75,40,32.5,27.5,53.75,13.75,32.5,37.5,26.25,36.25,25,58.75,16.25,27.5,66.25,6.25,21.25,33.75,45,33.75,21.25,45,35,38.75,26.25,36.25,36.25,27.5,31.25,46.25,22.5,32.5,57.5,10,42.5,50,7.5,45,33.75,21.25,17.5,58.75,23.75,38.75,25,36.25,32.5,61.25,6.25,8.75,57.5,33.75,11.25,53.75,35,27.5,32.5,40,1
TNFRSF1B,P20333,21.25,48.75,30,56.25,23.75,20,33.75,42.5,23.75,40,40,20,6.25,83.75,10,48.75,21.25,30,45,32.5,22.5,36.25,31.25,32.5,27.5,61.25,11.25,43.75,47.5,8.75,13.75,30,56.25,20,23.75,56.25,23.75,62.5,13.75,23.75,50,26.25,27.5,50,22.5,40,51.25,8.75,32.5,48.75,18.75,35,47.5,17.5,15,41.25,43.75,27.5,40,32.5,22.5,58.75,18.75,20,28.75,51.25,22.5,36.25,41.25,18.75,38.75,42.5,1
CST3,P01034,25,46.25,28.75,46.25,32.5,21.25,31.25,42.5,26.25,37.5,41.25,21.25,12.5,78.75,8.75,50,25,25,52.5,16.25,31.25,42.5,17.5,40,32.5,55,12.5,38.75,55,6.25,17.5,20,62.5,22.5,15,62.5,26.25,55,18.75,28.75,51.25,20,32.5,45,22.5,30,60,10,36.25,51.25,12.5,37.5,46.25,16.25,20,53.75,26.25,36.25,32.5,31.25,26.25,71.25,2.5,5,46.25,48.75,8.75,47.5,43.75,21.25,21.25,57.5,1
GPAM,Q9HCL2,27.5,41.25,31.25,45,22.5,32.5,35,35,30,33.75,33.75,32.5,13.75,75,11.25,37.5,27.5,35,36.25,33.75,30,25,41.25,33.75,22.5,56.25,21.25,36.25,56.25,7.5,18.75,40,41.25,23.75,35,41.25,30,48.75,21.25,36.25,35,28.75,36.25,47.5,16.25,40,43.75,16.25,47.5,38.75,13.75,50,35,15,22.5,50,27.5,46.25,26.25,27.5,33.75,46.25,20,22.5,47.5,30,25,45,30,25,48.75,26.25,1
TLR10,Q9BXR5,27.5,32.5,40,37.5,41.25,21.25,42.5,28.75,28.75,28.75,50,21.25,8.75,80,11.25,41.25,27.5,31.25,45,28.75,26.25,26.25,30,43.75,16.25,71.25,12.5,26.25,66.25,7.5,17.5,31.25,51.25,26.25,22.5,51.25,28.75,40,31.25,27.5,41.25,31.25,33.75,41.25,25,33.75,51.25,15,37.5,48.75,13.75,38.75,36.25,25,17.5,55,27.5,28.75,35,36.25,27.5,55,17.5,11.25,57.5,31.25,16.25,56.25,27.5,21.25,40,38.75,1
KRT5,P13647,13.75,65,21.25,63.75,16.25,20,23.75,62.5,13.75,61.25,18.75,20,11.25,88.75,0,47.5,13.75,38.75,22.5,25,52.5,40,36.25,23.75,55,27.5,17.5,46.25,51.25,2.5,13.75,36.25,50,12.5,37.5,50,13.75,72.5,13.75,53.75,32.5,13.75,20,68.75,11.25,22.5,72.5,5,72.5,23.75,3.75,72.5,21.25,6.25,15,72.5,12.5,65,23.75,11.25,41.25,47.5,11.25,8.75,76.25,15,10,71.25,18.75,12.5,45,42.5,1
DNMBP,Q6XZF7,26.25,27.5,46.25,36.25,45,18.75,46.25,27.5,26.25,27.5,53.75,18.75,6.25,76.25,17.5,55,26.25,18.75,35,40,25,20,32.5,47.5,18.75,67.5,13.75,23.75,71.25,5,8.75,31.25,60,22.5,17.5,60,26.25,45,28.75,33.75,41.25,25,25,48.75,26.25,31.25,45,23.75,27.5,62.5,10,27.5,58.75,13.75,7.5,63.75,28.75,23.75,32.5,43.75,18.75,65,16.25,15,38.75,46.25,16.25,53.75,30,20,35,45,1
IL23R,Q5VWK5,27.5,31.25,41.25,30,40,30,45,23.75,31.25,22.5,47.5,30,10,86.25,3.75,50,27.5,22.5,36.25,42.5,21.25,35,22.5,42.5,16.25,67.5,16.25,32.5,62.5,5,27.5,20,52.5,25,22.5,52.5,31.25,36.25,32.5,32.5,42.5,25,48.75,38.75,12.5,35,40,25,42.5,46.25,11.25,46.25,41.25,12.5,21.25,58.75,20,35,48.75,16.25,27.5,42.5,30,21.25,50,28.75,25,47.5,27.5,15,46.25,38.75,1
OPTN,Q96CV9,40,36.25,23.75,35,41.25,23.75,23.75,31.25,45,26.25,50,23.75,10,73.75,16.25,27.5,40,32.5,60,12.5,27.5,31.25,38.75,30,16.25,78.75,5,27.5,70,2.5,28.75,32.5,38.75,36.25,25,38.75,45,32.5,22.5,47.5,28.75,23.75,32.5,52.5,15,28.75,48.75,22.5,42.5,43.75,13.75,47.5,32.5,20,20,50,30,32.5,36.25,31.25,35,55,10,10,45,45,15,41.25,43.75,22.5,47.5,30,1
EPCAM,P16422,28.75,35,36.25,42.5,40,17.5,37.5,33.75,28.75,31.25,51.25,17.5,8.75,86.25,5,55,28.75,16.25,51.25,28.75,20,40,28.75,31.25,26.25,66.25,7.5,45,53.75,1.25,23.75,15,61.25,22.5,16.25,61.25,28.75,52.5,18.75,35,37.5,27.5,22.5,50,27.5,28.75,58.75,12.5,38.75,46.25,15,38.75,38.75,22.5,13.75,50,36.25,22.5,45,32.5,22.5,62.5,15,13.75,40,46.25,17.5,42.5,40,8.75,46.25,45,1
CYP4A11,Q02928,27.5,27.5,45,26.25,53.75,20,46.25,22.5,31.25,20,60,20,7.5,86.25,6.25,52.5,27.5,20,58.75,21.25,20,32.5,17.5,50,17.5,71.25,11.25,17.5,78.75,3.75,25,20,55,27.5,17.5,55,31.25,31.25,37.5,33.75,32.5,33.75,30,38.75,31.25,35,51.25,13.75,35,57.5,7.5,38.75,35,26.25,13.75,73.75,12.5,30,32.5,37.5,35,53.75,11.25,12.5,47.5,40,13.75,51.25,35,15,35,50,1
DUSP23,Q9BVJ7,22.5,41.25,36.25,43.75,33.75,22.5,37.5,35,27.5,26.25,51.25,22.5,8.75,83.75,7.5,47.5,22.5,30,42.5,22.5,35,38.75,11.25,50,17.5,66.25,16.25,26.25,66.25,7.5,20,17.5,62.5,27.5,10,62.5,27.5,45,27.5,20,52.5,27.5,42.5,32.5,25,46.25,48.75,5,31.25,50,18.75,36.25,43.75,20,16.25,66.25,17.5,30,37.5,32.5,25,65,10,15,46.25,38.75,16.25,48.75,35,22.5,23.75,53.75,1
IRF7,Q92985,27.5,42.5,30,46.25,23.75,30,31.25,40,28.75,35,35,30,15,73.75,11.25,52.5,27.5,20,48.75,22.5,28.75,41.25,21.25,37.5,30,46.25,23.75,42.5,52.5,5,17.5,26.25,56.25,25,18.75,56.25,28.75,47.5,23.75,28.75,46.25,25,38.75,46.25,15,41.25,45,13.75,35,52.5,12.5,36.25,51.25,12.5,18.75,52.5,28.75,41.25,32.5,26.25,25,62.5,12.5,16.25,41.25,42.5,17.5,36.25,46.25,25,27.5,47.5,1
ERBB2,P04626,23.75,38.75,37.5,41.25,42.5,16.25,40,33.75,26.25,31.25,52.5,16.25,5,86.25,8.75,48.75,23.75,27.5,53.75,22.5,23.75,35,22.5,42.5,20,71.25,8.75,31.25,62.5,6.25,17.5,25,57.5,25,17.5,57.5,26.25,45,28.75,27.5,38.75,33.75,25,45,30,33.75,58.75,7.5,36.25,50,13.75,38.75,32.5,28.75,13.75,57.5,28.75,26.25,35,38.75,23.75,62.5,13.75,11.25,51.25,37.5,15,52.5,32.5,17.5,33.75,48.75,1
PARP1,P09874,30,37.5,32.5,40,22.5,37.5,36.25,28.75,35,31.25,31.25,37.5,15,71.25,13.75,37.5,30,32.5,41.25,27.5,31.25,30,32.5,37.5,23.75,57.5,18.75,28.75,60,11.25,21.25,35,43.75,26.25,30,43.75,35,43.75,21.25,35,40,25,43.75,41.25,15,41.25,40,18.75,38.75,47.5,13.75,43.75,43.75,12.5,28.75,48.75,22.5,51.25,20,28.75,40,48.75,11.25,21.25,37.5,41.25,26.25,41.25,32.5,28.75,41.25,30,1
LEPR,P48357,20,43.75,36.25,38.75,31.25,30,42.5,33.75,23.75,27.5,42.5,30,6.25,88.75,5,41.25,20,38.75,30,38.75,31.25,22.5,31.25,46.25,18.75,62.5,18.75,25,67.5,7.5,18.75,32.5,48.75,18.75,32.5,48.75,23.75,48.75,27.5,32.5,35,32.5,40,42.5,17.5,35,51.25,13.75,43.75,42.5,13.75,47.5,37.5,15,18.75,61.25,20,36.25,41.25,22.5,25,56.25,18.75,25,47.5,27.5,27.5,50,22.5,16.25,50,33.75,1
ITGAM,P11215,27.5,37.5,35,38.75,45,16.25,37.5,32.5,30,32.5,51.25,16.25,5,87.5,7.5,50,27.5,22.5,46.25,28.75,25,42.5,21.25,36.25,23.75,65,11.25,32.5,62.5,5,22.5,22.5,55,30,15,55,30,48.75,21.25,35,40,25,22.5,51.25,26.25,32.5,60,7.5,43.75,47.5,8.75,46.25,35,18.75,12.5,61.25,26.25,27.5,38.75,33.75,26.25,61.25,12.5,12.5,48.75,38.75,15,53.75,31.25,17.5,37.5,45,1
OR13G1,Q8NGZ3,15,30,55,26.25,50,23.75,58.75,23.75,17.5,21.25,55,23.75,5,91.25,3.75,58.75,15,26.25,36.25,46.25,17.5,18.75,20,61.25,11.25,77.5,11.25,23.75,71.25,5,13.75,18.75,67.5,12.5,20,67.5,17.5,37.5,45,21.25,45,33.75,37.5,36.25,26.25,23.75,52.5,23.75,31.25,58.75,10,33.75,43.75,22.5,16.25,66.25,17.5,23.75,46.25,30,16.25,57.5,26.25,15,58.75,26.25,20,63.75,16.25,10,36.25,53.75,1
NBEA,Q8NFP9,13.75,58.75,27.5,58.75,27.5,13.75,27.5,58.75,13.75,48.75,37.5,13.75,6.25,90,3.75,60,13.75,26.25,33.75,15,51.25,46.25,16.25,37.5,47.5,47.5,5,46.25,53.75,0,10,13.75,76.25,11.25,12.5,76.25,13.75,65,21.25,48.75,36.25,15,25,61.25,13.75,22.5,65,12.5,50,33.75,16.25,50,36.25,13.75,12.5,73.75,13.75,51.25,31.25,17.5,22.5,70,7.5,1.25,66.25,32.5,7.5,62.5,30,7.5,23.75,68.75,1
HIF1A,Q16665,40,36.25,23.75,37.5,31.25,31.25,26.25,30,43.75,35,33.75,31.25,21.25,63.75,15,35,40,25,56.25,13.75,30,40,31.25,28.75,26.25,58.75,15,36.25,53.75,10,28.75,31.25,40,33.75,26.25,40,43.75,37.5,18.75,38.75,43.75,17.5,43.75,40,16.25,28.75,50,21.25,46.25,48.75,5,50,36.25,13.75,30,45,25,47.5,21.25,31.25,41.25,53.75,5,7.5,50,42.5,10,48.75,41.25,32.5,31.25,36.25,1
MYBL2,P10244,50,23.75,26.25,33.75,35,31.25,28.75,17.5,53.75,26.25,42.5,31.25,16.25,63.75,20,28.75,50,21.25,51.25,23.75,25,45,26.25,28.75,8.75,70,21.25,28.75,56.25,15,33.75,36.25,30,48.75,21.25,30,53.75,28.75,17.5,32.5,43.75,23.75,45,37.5,17.5,53.75,33.75,12.5,43.75,47.5,8.75,47.5,38.75,13.75,23.75,45,31.25,33.75,28.75,37.5,37.5,50,12.5,17.5,35,47.5,18.75,40,41.25,37.5,41.25,21.25,1
SULT1E1,P49888,35,30,35,27.5,37.5,35,45,18.75,36.25,22.5,42.5,35,11.25,70,18.75,38.75,35,26.25,36.25,41.25,22.5,23.75,28.75,47.5,11.25,67.5,21.25,23.75,58.75,17.5,17.5,38.75,43.75,27.5,28.75,43.75,36.25,40,23.75,32.5,40,27.5,47.5,37.5,15,38.75,33.75,27.5,37.5,53.75,8.75,38.75,52.5,8.75,26.25,46.25,27.5,36.25,30,33.75,21.25,63.75,15,21.25,32.5,46.25,25,43.75,31.25,32.5,35,32.5,1
IGFBP5,P24593,17.5,42.5,40,53.75,32.5,13.75,42.5,38.75,18.75,32.5,53.75,13.75,5,86.25,8.75,57.5,17.5,25,47.5,27.5,25,30,33.75,36.25,27.5,66.25,6.25,43.75,52.5,3.75,10,21.25,68.75,16.25,15,68.75,18.75,61.25,20,30,33.75,36.25,17.5,47.5,35,36.25,53.75,10,31.25,43.75,25,32.5,35,32.5,12.5,50,37.5,28.75,27.5,43.75,20,62.5,17.5,18.75,41.25,40,22.5,42.5,35,15,35,50,1
PCSK9,Q8NBP7,25,42.5,32.5,45,36.25,18.75,35,37.5,27.5,36.25,45,18.75,7.5,76.25,16.25,50,25,25,52.5,20,27.5,35,23.75,41.25,23.75,62.5,13.75,33.75,57.5,8.75,11.25,33.75,55,26.25,18.75,55,27.5,46.25,26.25,26.25,43.75,30,30,43.75,26.25,31.25,57.5,11.25,31.25,58.75,10,33.75,43.75,22.5,13.75,52.5,33.75,31.25,26.25,42.5,17.5,71.25,11.25,11.25,47.5,41.25,12.5,51.25,36.25,27.5,21.25,51.25,1
SLC17A1,Q14916,28.75,32.5,38.75,37.5,36.25,26.25,41.25,27.5,31.25,23.75,50,26.25,10,85,5,38.75,28.75,32.5,35,31.25,33.75,31.25,23.75,45,12.5,76.25,11.25,27.5,65,7.5,26.25,21.25,52.5,25,22.5,52.5,31.25,42.5,26.25,30,41.25,28.75,45,32.5,22.5,40,48.75,11.25,42.5,37.5,20,45,33.75,21.25,21.25,60,18.75,32.5,40,27.5,28.75,53.75,17.5,15,51.25,33.75,21.25,53.75,25,13.75,48.75,37.5,1
USP24,Q9UPU5,28.75,51.25,20,56.25,26.25,17.5,22.5,47.5,30,46.25,36.25,17.5,7.5,76.25,16.25,43.75,28.75,27.5,38.75,13.75,47.5,47.5,22.5,30,33.75,57.5,8.75,42.5,47.5,10,13.75,28.75,57.5,27.5,15,57.5,30,52.5,17.5,43.75,37.5,18.75,33.75,55,11.25,32.5,53.75,13.75,47.5,37.5,15,48.75,36.25,15,16.25,55,28.75,43.75,28.75,27.5,20,71.25,8.75,6.25,57.5,36.25,11.25,56.25,32.5,25,25,50,1
EPX,P11678,23.75,43.75,32.5,47.5,35,17.5,35,40,25,37.5,45,17.5,8.75,82.5,8.75,48.75,23.75,27.5,50,22.5,27.5,35,25,40,27.5,63.75,8.75,35,57.5,7.5,16.25,26.25,57.5,20,22.5,57.5,25,52.5,22.5,28.75,46.25,25,30,45,25,31.25,57.5,11.25,36.25,51.25,12.5,37.5,42.5,20,15,55,30,30,36.25,33.75,26.25,62.5,11.25,8.75,43.75,47.5,11.25,50,38.75,16.25,32.5,51.25,1
UHRF1BP1,Q6BDS2,35,28.75,36.25,28.75,47.5,23.75,37.5,25,37.5,23.75,52.5,23.75,15,76.25,8.75,42.5,35,22.5,50,28.75,21.25,28.75,31.25,40,12.5,77.5,10,32.5,63.75,3.75,28.75,26.25,45,27.5,27.5,45,37.5,31.25,31.25,36.25,40,23.75,43.75,35,21.25,23.75,50,26.25,45,48.75,6.25,47.5,33.75,18.75,20,57.5,22.5,31.25,38.75,30,28.75,48.75,22.5,8.75,56.25,35,10,56.25,33.75,17.5,41.25,41.25,1
PGLYRP4,Q96LB8,25,37.5,37.5,40,43.75,16.25,38.75,36.25,25,36.25,47.5,16.25,6.25,86.25,7.5,51.25,25,23.75,41.25,32.5,26.25,30,30,40,25,65,10,31.25,65,3.75,17.5,32.5,50,20,30,50,25,48.75,26.25,38.75,36.25,25,25,50,25,25,61.25,13.75,45,50,5,45,38.75,16.25,8.75,66.25,25,31.25,36.25,32.5,25,56.25,18.75,10,50,40,11.25,60,28.75,10,45,45,1
SPPL2C,Q8IUH8,17.5,46.25,36.25,46.25,31.25,22.5,41.25,36.25,22.5,33.75,43.75,22.5,5,86.25,8.75,51.25,17.5,31.25,38.75,28.75,32.5,32.5,21.25,46.25,23.75,63.75,12.5,28.75,60,11.25,13.75,27.5,58.75,18.75,22.5,58.75,22.5,51.25,26.25,26.25,42.5,31.25,37.5,37.5,25,35,55,10,33.75,52.5,13.75,38.75,41.25,20,16.25,60,23.75,35,31.25,33.75,21.25,65,13.75,20,42.5,37.5,21.25,52.5,26.25,20,30,50,1
PRKAG2,Q9UGJ0,30,48.75,21.25,53.75,16.25,30,21.25,46.25,32.5,46.25,23.75,30,18.75,72.5,8.75,36.25,30,33.75,37.5,12.5,50,37.5,33.75,28.75,37.5,51.25,11.25,38.75,53.75,7.5,23.75,28.75,47.5,20,32.5,47.5,32.5,51.25,16.25,50,35,15,38.75,50,11.25,31.25,53.75,15,56.25,32.5,11.25,58.75,31.25,10,25,61.25,13.75,58.75,21.25,20,45,52.5,2.5,7.5,53.75,38.75,11.25,56.25,32.5,17.5,43.75,38.75,1
MC3R,P41968,20,35,45,36.25,46.25,17.5,46.25,31.25,22.5,23.75,58.75,17.5,2.5,92.5,5,51.25,20,28.75,37.5,30,32.5,25,26.25,48.75,22.5,66.25,11.25,17.5,81.25,1.25,17.5,21.25,61.25,21.25,17.5,61.25,22.5,46.25,31.25,36.25,31.25,32.5,26.25,45,28.75,31.25,57.5,11.25,35,50,15,37.5,40,22.5,8.75,75,16.25,26.25,40,33.75,26.25,62.5,11.25,17.5,50,32.5,20,55,25,10,45,45,1
MC4R,P32245,22.5,42.5,35,33.75,40,26.25,40,31.25,28.75,30,43.75,26.25,7.5,86.25,6.25,42.5,22.5,35,40,27.5,32.5,31.25,27.5,41.25,25,62.5,12.5,23.75,70,6.25,22.5,30,47.5,25,27.5,47.5,28.75,46.25,25,38.75,35,26.25,36.25,41.25,22.5,22.5,63.75,13.75,46.25,46.25,7.5,52.5,30,17.5,22.5,62.5,15,45,26.25,28.75,32.5,56.25,11.25,16.25,57.5,26.25,20,60,20,21.25,38.75,40,1
